Id	Name	Formula	EC
R02748	Deoxyinosine:orthophosphate ribosyltransferase	C05512 + C00009 <=> C00262 + C00672	2.4.2.1         2.4.2.4
R02749	2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase	C00672 <=> C00673	5.4.2.7
R02740	alpha-D-Glucose 6-phosphate ketol-isomerase	C00668 <=> C05345	5.3.1.9
R02741	gamma-L-Glutamyl-L-cysteine:beta-alanine ligase (ADP-forming)	C00002 + C00669 + C00099 <=> C00008 + C00009 + C04544	6.3.2.23
R02742	gamma-glutamylcysteine:NADP+ oxidoreductase	2 C00669 + C00006 <=> C03646 + C00005 + C00080	1.8.1.13
R02743	(5-L-Glutamyl)-L-amino-acid 5-glutamyltransferase (cyclizing)	C00669 <=> C01879 + C00097	2.3.2.4
R02744		C00670 + C00060 <=> C04233 + C00001	3.1.1.5
R02745	1-(1-alkenyl)-sn-glycero-3-phosphocholine aldehydohydrolase	C04517 + C00001 <=> C00071 + C00670	3.3.2.2
R02746	1-Acyl-sn-glycero-3-phosphocholine acylhydrolase	C04230 + C00001 <=> C00670 + C00162	3.1.1.5
R02747	2-Acyl-sn-glycero-3-phosphocholine acylhydrolase	C04233 + C00001 <=> C00670 + C00162	3.1.1.5
R08669	3'-phosphoadenylyl-sulfate:3-methylthiopropyl-desulfoglucosinolate sulfotransferase	C17244 + C00053 <=> C08412 + C00054	2.8.2.-
R08668	UDP-glucose:4-methylthiobutylthiohydroximate S-beta-D-glucosyltransferase	C17243 + C00029 <=> C17244 + C00015	2.4.1.195
R08661	UDP-glucose:p-hydroxyphenylacetothiohydroximate S-beta-D-glucosyltransferase	C17239 + C00029 <=> C17240 + C00015	2.4.1.195
R08660	S-(hydroxyphenylacetothiohydroximoyl)-L-cysteine phenylacetothiohydroximate-lyase (deaminating; pyruvate-forming)	C17238 + C00001 <=> C17239 + C00022 + C00014	4.4.1.-
R08663	L-valine,NADPH:oxygen oxidoreductase (N-hydroxylating, decarboxylating)	C00183 + 2 C00007 + 2 C00005 + 2 C00080 <=> C03219 + 3 C00001 + 2 C00006 + C00011	1.14.13.118
R08662	3'-phosphoadenylyl-sulfate:desulfo-p-hydroxybenzylglucosinolate sulfotransferase	C17240 + C00053 <=> C08426 + C00054	2.8.2.-
R08665	homomethionine,NADPH:oxygen oxidoreductase (N-hydroxylating, decarboxylating)	C17213 + 2 C00007 + 2 C00005 + 2 C00080 <=> C17241 + 3 C00001 + 2 C00006 + C00011	1.14.13.-
R08664	L-leucine,NADPH:oxygen oxidoreductase (N-hydroxylating, decarboxylating)	C00123 + 2 C00007 + 2 C00005 + 2 C00080 <=> C17255 + 3 C00001 + 2 C00006 + C00011	1.14.13.-
R08667	S-(4-methylthiobutylthiohydroximoyl)-L-cysteine 4-methylthiobutylthiohydroximate-lyase (deaminating; pyruvate-forming)	C17242 + C00001 <=> C17243 + C00022 + C00014	4.4.1.-
R08666	4-methylthiobutanaldoxime,NADPH:oxygen oxidoreductase (adding cysteine)	C17241 + C00097 + C00005 + C00007 + C00080 <=> C17242 + C00006 + 2 C00001	1.14.-.-
R02340	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase	C03506 <=> C00463 + C00118	4.1.2.8         4.2.1.20
R08002	flavonoid,NADPH:oxygen oxidoreductase (3'-hydroxylating)	C09762 + C00005 + C00080 + C00007 <=> C09614 + C00006 + C00001	1.14.13.21
R03929	2',3'-Cyclic CMP 3'-nucleotidohydrolase	C02354 + C00001 <=> C05822	3.1.4.16
R03928	UDP-D-xylose:1,4-beta-D-xylan 4-beta-D-xylosyltransferase	C00190 + C02352 <=> C00015 + C02352	2.4.2.24
R03299	3-Hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating)	C05593 + C00007 + C00004 + C00080 <=> C01161 + C00003 + C00001	1.14.14.9
R03298		C01159 + C00002 <=> C06189 + C00008 + C00009	4.6.1.-
R03295	trans-4-Hydroxy-L-proline:(acceptor) oxidoreductase	C01157 + C00016 <=> C04281 + C01352	1.5.-.-
R03922	S-adenosyl-L-methionine:5-(N7-methyl 5-triphosphoguanosine)-(purine-ribonucleotide)-[mRNA] 2-O-methyltransferase	C00019 + C02339 <=> C00021 + C04802	2.1.1.57
